====== Sym2LowerBounds5 for G=E7, H=A2======

LiE isotropy representation: 1X[4,4]
Sage isotropy representation: A2(4,4)
Einstein constant: E=71/252
Isotype in Sym^2_0       CasGMin        CasGMax        CasH           A*AMin         A*AMax         q(R)Min        
A2(0,6)                  19/9           19/9           1/21           122/63         122/63         67/126         
A2(0,12)                 19/9           19/9           10/63          115/63         115/63         155/252        
A2(1,1)                  14/9           19/9           1/126          179/126        83/42          61/168         
A2(1,4)                  19/9           19/9           2/63           41/21          41/21          131/252        
A2(1,7)                  19/9           19/9           1/14           241/126        241/126        277/504        
A2(1,10)                 14/9           14/9           8/63           82/63          82/63          19/42          
A2(2,2)                  14/9           19/9           4/189          38/27          53/27          47/126         
A2(2,5)                  14/9           19/9           10/189         260/189        365/189        25/63          
A2(2,8)                  19/9           19/9           19/189         356/189        356/189        4/7            
A2(3,3)                  14/9           19/9           5/126          25/18          35/18          65/168         
A2(3,6)                  14/9           19/9           5/63           85/63          40/21          5/12           
A2(3,9)                  19/9           19/9           17/126         233/126        233/126        43/72          
A2(4,1)                  19/9           19/9           2/63           41/21          41/21          131/252        
A2(4,4)                  14/9           19/9           4/63           86/63          121/63         17/42          
A2(4,7)                  19/9           19/9           1/9            118/63         118/63         73/126         
A2(4,10)                 19/9           19/9           11/63          38/21          38/21          79/126         
A2(5,2)                  14/9           19/9           10/189         260/189        365/189        25/63          
A2(5,5)                  14/9           19/9           5/54           505/378        715/378        215/504        
A2(5,8)                  19/9           19/9           4/27           347/189        347/189        17/28          
A2(6,0)                  19/9           19/9           1/21           122/63         122/63         67/126         
A2(6,3)                  14/9           19/9           5/63           85/63          40/21          5/12           
A2(6,6)                  14/9           19/9           8/63           82/63          13/7           19/42          
A2(7,1)                  19/9           19/9           1/14           241/126        241/126        277/504        
A2(7,4)                  19/9           19/9           1/9            118/63         118/63         73/126         
A2(7,7)                  19/9           19/9           1/6            229/126        229/126        313/504        
A2(8,2)                  19/9           19/9           19/189         356/189        356/189        4/7            
A2(8,5)                  19/9           19/9           4/27           347/189        347/189        17/28          
A2(8,8)                  19/9           19/9           40/189         335/189        335/189        55/84          
A2(9,3)                  19/9           19/9           17/126         233/126        233/126        43/72          
A2(10,1)                 14/9           14/9           8/63           82/63          82/63          19/42          
A2(10,4)                 19/9           19/9           11/63          38/21          38/21          79/126         
A2(12,0)                 19/9           19/9           10/63          115/63         115/63         155/252        
q(R)>E holds globally, implying stability.
